文件名,文件路径,策略类型,真策略,可执行,ML依赖,文件依赖,时间框架,市场类型,账户类型,ML库,代码行数,扫描状态,错误信息
01 7年40倍模拟超过两年年化高回撤低.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/01 7年40倍模拟超过两年年化高回撤低.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,244,valid,
01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/01 wywy1995大侠的小市值AI因子选股 5组参数50股.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,314,valid,
01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/01 一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,研究说明/非策略文档; 分钟级/日内策略; 依赖ML库策略; 期货/股指策略,否,是,是,否,分钟级,期货/股指,单账户,statsmodels,264,valid,
01 首板低开策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/01 首板低开策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,222,valid,
01 龙回头3.0回测速度优化版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/01 龙回头3.0回测速度优化版.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; talib; numpy,344,valid,
02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/02 7年40倍绩优低价超跌缩量小盘 扩容到50只.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,295,valid,
02 ETF动量轮动RSRS择时-魔改3小优化.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/02 ETF动量轮动RSRS择时-魔改3小优化.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,numpy,174,valid,
02 连板龙头策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/02 连板龙头策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,402,valid,
02 龙头底分型战法-两年23倍.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/02 龙头底分型战法-两年23倍.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,否,否,是,分钟级,期货/股指,单账户,,333,missing_api,missing_api
03 5年15倍的收益，年化79.93%，可实盘，拿走不谢！.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/03 5年15倍的收益，年化79.93%，可实盘，拿走不谢！.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,396,valid,
03 一个简单而持续稳定的懒人超额收益策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/03 一个简单而持续稳定的懒人超额收益策略.txt,依赖ML库策略; 多账户/子账户策略; 期货/股指策略,是,是,是,否,日线,期货/股指,多账户,pandas; numpy,58,valid,
03 多策略融合-80倍.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/03 多策略融合-80倍.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,否,否,是,分钟级,期货/股指,单账户,,949,missing_api,missing_api
03 截止到21年12月依然有效的小市值适配因子.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/03 截止到21年12月依然有效的小市值适配因子.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,199,valid,
03 高评分ETF策略之核心资产轮动.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/03 高评分ETF策略之核心资产轮动.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,79,valid,
04 红利搬砖，年化29%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/04 红利搬砖，年化29%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,89,valid,
04 苦咖啡-默默赚钱系列-改.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/04 苦咖啡-默默赚钱系列-改.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,scipy; numpy,113,valid,
04 集合竞价摸奖策略1.0-致敬2022.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/04 集合竞价摸奖策略1.0-致敬2022.txt,依赖ML库策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,否,是,是,分钟级,期货/股指,多账户,talib; scipy,316,missing_api,missing_api
04 首板低开策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/04 首板低开策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,222,valid,
04 高股息低市盈率高增长的价投策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/04 高股息低市盈率高增长的价投策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,205,valid,
"05 8年10倍回撤小,有滑点,ETF动量简单轮动策略.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/05 8年10倍回撤小,有滑点,ETF动量简单轮动策略.txt",依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,numpy,288,valid,
05 价值低波（下）--十年十倍（2020拜年）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/05 价值低波（下）--十年十倍（2020拜年）.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,110,valid,
05 四大搅屎棍策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/05 四大搅屎棍策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,276,valid,
05 用机器学习批量快速生产小盘策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/05 用机器学习批量快速生产小盘策略.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,期货/股指,单账户,pandas; numpy,227,valid,
05 随机森林策略，低换手率，年化近50%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/05 随机森林策略，低换手率，年化近50%.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,92,valid,
06 87.5%胜率之分歧反包二板.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/06 87.5%胜率之分歧反包二板.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,否,否,是,分钟级,期货/股指,单账户,,305,missing_api,missing_api
06 PEG+成长+小市值+RSRS择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/06 PEG+成长+小市值+RSRS择时.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,251,valid,
06 iAlpha 基金投资策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/06 iAlpha 基金投资策略.txt,研究说明/非策略文档; ETF策略; 期货/股指策略,否,否,否,否,日线,ETF,单账户,,43,no_initialize,no_initialize
06 国九小市值策略【年化100.5% 回撤25.6%】.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/06 国九小市值策略【年化100.5% 回撤25.6%】.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,361,valid,
06 高股息低杠杆稳定小市值轮动策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/06 高股息低杠杆稳定小市值轮动策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; numpy,301,valid,
07 为了挣点积分自己实盘的策略分享出来.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/07 为了挣点积分自己实盘的策略分享出来.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,pandas; talib,239,valid,
07 股债波动平衡.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/07 股债波动平衡.txt,多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,多账户,,189,valid,
07 致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/07 致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,471,valid,
07 连板龙头策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/07 连板龙头策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,403,valid,
07 追首板涨停 过去两年年化304%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/07 追首板涨停 过去两年年化304%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,162,valid,
08 14个月200%，超短线实盘交易策略！无未来函数.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/08 14个月200%，超短线实盘交易策略！无未来函数.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,numpy,183,valid,
08 ETF动量轮动RSRS择时-魔改3小优化.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/08 ETF动量轮动RSRS择时-魔改3小优化.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,numpy,174,valid,
08 因子分析 营业利润TTM.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/08 因子分析 营业利润TTM.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,否,是,是,是,分钟级,期货/股指,单账户,pandas; scipy; statsmodels; numpy,639,valid,
08 国九条后中小板微盘小改，年化135.40%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/08 国九条后中小板微盘小改，年化135.40%.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,328,valid,
08 科技与狠活 纯粹的数据挖掘策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/08 科技与狠活 纯粹的数据挖掘策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; numpy,277,valid,
09 iAlpha 基金投资策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/09 iAlpha 基金投资策略.txt,研究说明/非策略文档; ETF策略; 期货/股指策略,否,否,否,否,日线,ETF,单账户,,41,no_initialize,no_initialize
09 大容量小市值持仓95只，媲美金元顺安元启.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/09 大容量小市值持仓95只，媲美金元顺安元启.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,98,valid,
09 干积分-量化策略简易框架.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/09 干积分-量化策略简易框架.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; talib; numpy,382,valid,
09 持续跑赢大盘-真蓝筹v2(资金容量千万以上).txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/09 持续跑赢大盘-真蓝筹v2(资金容量千万以上).txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; statsmodels; numpy,214,valid,
10 10倍-二板排板战法优化.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/10 10倍-二板排板战法优化.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,期货/股指,单账户,,447,valid,
10 10年52倍，年化59%，全新因子方法超稳定.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/10 10年52倍，年化59%，全新因子方法超稳定.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,288,valid,
10 多因子宽基ETF择时轮动改进版-高收益大资金低回撤.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/10 多因子宽基ETF择时轮动改进版-高收益大资金低回撤.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,statsmodels; numpy,333,valid,
10 龙头首阴战法改版二.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/10 龙头首阴战法改版二.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,期货/股指,单账户,,405,valid,
100 全市场选股？7年5倍不择时，回撤30%左右.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/100 全市场选股？7年5倍不择时，回撤30%左右.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,269,valid,
100 配套资料说明.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/100 配套资料说明.txt,研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,8,not_strategy,非策略文件（研究文档/配套资料）
11 一个简单而持续稳定的懒人超额收益策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/11 一个简单而持续稳定的懒人超额收益策略.txt,依赖ML库策略; 多账户/子账户策略; 期货/股指策略,是,是,是,否,日线,期货/股指,多账户,pandas; numpy,58,valid,
11 低价小盘简单有效.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/11 低价小盘简单有效.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,221,valid,
11 低风险中等收益策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/11 低风险中等收益策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,132,valid,
11 缠论交易策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/11 缠论交易策略.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,numpy,585,valid,
12 全市场选股？7年5倍不择时，回撤30%左右.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/12 全市场选股？7年5倍不择时，回撤30%左右.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,269,valid,
