iter	backtest_id	status	annual_return	max_drawdown	sharpe	score	decision	mutation	robust_score	recent6	recent12	prior12	full24	sensitivity	trade_count	complexity	reason
0001	jqka_1776929876033	stage_a_fail	6.0000	0.1800	2.9793	-2.193333	rollback	tree_run:run-002 round:1 | [添加条件] 净资产收益率大于29%	0.000000	-2.191667	-2.193333	0.000000	0.000000	0.0000	1	10	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0002	jqka_1776929892359	stage_a_fail	0.0000	0.1900	0.0000	-5.400000	rollback	tree_run:run-002 round:2 | [粗调阈值] 流通市值 30.0 → 10	0.000000	-5.400000	-5.400000	0.000000	0.000000	0.0000	0	10	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0003	jqka_1776929907748	stage_a_fail	0.0000	0.1900	0.0000	-5.400000	rollback	tree_run:run-002 round:3 | [替换条件] 市盈率小于20 → 市盈率大于0小于30	0.000000	-5.400000	-5.400000	0.000000	0.000000	0.0000	0	10	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0004		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-002 round:4	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	10	BacktestFailedError: 回测失败 (exit=1)
🧮 格式化策略参数...
📝 提交给问财引擎的参数: {
  "name": "小盘风格树-run-002",
  "description": "探索小市值公司的收益放大机会 | Run run-002",
  "query": "非ST，净资产收益率大于29%，市盈率大于0小于30，流通市值小于100亿",
  "start_date": "20250428",
  "end_date": "20260423",
  "stock_hold": 3,
  "day_buy_stock_num": 2,
  "upper_income": 15,
  "lower_income": 8,
  "fall_income": 5,
  "period": "3,5",
  "capital": "10000000",
  "engine": "undefined"
}

🚀 正在提交10jqka问财回测...
✅ 回测发起成功!
📊 结果已保存: /Users/fengzhi/Downloads/git/testlixingren/skills/10jqka_backtest/output/backtest-1776929924551.json

{
  "status": "error",
  "error": "errorcode_1",
  "message": "回测失败",
  "backtest_id": "",
  "metrics": null,
  "raw": {
    "result": "",
    "errorcode": 1,
    "errormsg": "该问句回测失败"
  }
}

0005		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-002 round:5	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	10	BacktestFailedError: 回测失败 (exit=1)
🧮 格式化策略参数...
📝 提交给问财引擎的参数: {
  "name": "小盘风格树-run-002",
  "description": "探索小市值公司的收益放大机会 | Run run-002",
  "query": "非ST，净资产收益率大于25%，市盈率大于0小于30，流通市值小于100亿",
  "start_date": "20251025",
  "end_date": "20260423",
  "stock_hold": 3,
  "day_buy_stock_num": 2,
  "upper_income": 15,
  "lower_income": 8,
  "fall_income": 5,
  "period": "3,5",
  "capital": "10000000",
  "engine": "undefined"
}

🚀 正在提交10jqka问财回测...
✅ 回测发起成功!
📊 结果已保存: /Users/fengzhi/Downloads/git/testlixingren/skills/10jqka_backtest/output/backtest-1776929946413.json

{
  "status": "error",
  "error": "errorcode_1",
  "message": "回测失败",
  "backtest_id": "",
  "metrics": null,
  "raw": {
    "result": "",
    "errorcode": 1,
    "errormsg": "该问句回测失败"
  }
}

0006		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-002 round:6	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	10	BacktestFailedError: 回测失败 (exit=1)
🧮 格式化策略参数...
📝 提交给问财引擎的参数: {
  "name": "小盘风格树-run-002",
  "description": "探索小市值公司的收益放大机会 | Run run-002",
  "query": "非ST，净资产收益率大于23%，市盈率大于0小于30，流通市值小于100亿",
  "start_date": "20251025",
  "end_date": "20260423",
  "stock_hold": 3,
  "day_buy_stock_num": 2,
  "upper_income": 15,
  "lower_income": 8,
  "fall_income": 5,
  "period": "3,5",
  "capital": "10000000",
  "engine": "undefined"
}

🚀 正在提交10jqka问财回测...
✅ 回测发起成功!
📊 结果已保存: /Users/fengzhi/Downloads/git/testlixingren/skills/10jqka_backtest/output/backtest-1776929960267.json

{
  "status": "error",
  "error": "errorcode_1",
  "message": "回测失败",
  "backtest_id": "",
  "metrics": null,
  "raw": {
    "result": "",
    "errorcode": 1,
    "errormsg": "该问句回测失败"
  }
}

0007		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-002 round:7	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	11	BacktestFailedError: 回测失败 (exit=1)
🧮 格式化策略参数...
📝 提交给问财引擎的参数: {
  "name": "小盘风格树-run-002",
  "description": "探索小市值公司的收益放大机会 | Run run-002",
  "query": "非ST，净资产收益率大于23%，市盈率大于0小于30，市盈率小于49，流通市值小于100亿",
  "start_date": "20251025",
  "end_date": "20260423",
  "stock_hold": 3,
  "day_buy_stock_num": 2,
  "upper_income": 15,
  "lower_income": 8,
  "fall_income": 5,
  "period": "3,5",
  "capital": "10000000",
  "engine": "undefined"
}

🚀 正在提交10jqka问财回测...
✅ 回测发起成功!
📊 结果已保存: /Users/fengzhi/Downloads/git/testlixingren/skills/10jqka_backtest/output/backtest-1776929969494.json

{
  "status": "error",
  "error": "errorcode_1",
  "message": "回测失败",
  "backtest_id": "",
  "metrics": null,
  "raw": {
    "result": "",
    "errorcode": 1,
    "errormsg": "该问句回测失败"
  }
}

0008		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-002 round:8	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	12	BacktestFailedError: 回测失败 (exit=1)
🧮 格式化策略参数...
📝 提交给问财引擎的参数: {
  "name": "小盘风格树-run-002",
  "description": "探索小市值公司的收益放大机会 | Run run-002",
  "query": "非ST，净资产收益率大于23%，市盈率大于0小于30，市盈率小于49，流通市值小于50亿，流通市值小于100亿",
  "start_date": "20251025",
  "end_date": "20260423",
  "stock_hold": 3,
  "day_buy_stock_num": 2,
  "upper_income": 15,
  "lower_income": 8,
  "fall_income": 5,
  "period": "3,5",
  "capital": "10000000",
  "engine": "undefined"
}

🚀 正在提交10jqka问财回测...
✅ 回测发起成功!
📊 结果已保存: /Users/fengzhi/Downloads/git/testlixingren/skills/10jqka_backtest/output/backtest-1776929991397.json

{
  "status": "error",
  "error": "errorcode_1",
  "message": "回测失败",
  "backtest_id": "",
  "metrics": null,
  "raw": {
    "result": "",
    "errorcode": 1,
    "errormsg": "该问句回测失败"
  }
}

0009		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-002 round:9	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	13	BacktestFailedError: 回测失败 (exit=1)
🧮 格式化策略参数...
📝 提交给问财引擎的参数: {
  "name": "小盘风格树-run-002",
  "description": "探索小市值公司的收益放大机会 | Run run-002",
  "query": "非ST，净资产收益率大于23%，市盈率大于0小于30，市盈率小于49，流通市值小于50亿，总市值小于100亿，流通市值小于100亿",
  "start_date": "20251025",
  "end_date": "20260423",
  "stock_hold": 3,
  "day_buy_stock_num": 2,
  "upper_income": 15,
  "lower_income": 8,
  "fall_income": 5,
  "period": "3,5",
  "capital": "10000000",
  "engine": "undefined"
}

🚀 正在提交10jqka问财回测...
✅ 回测发起成功!
📊 结果已保存: /Users/fengzhi/Downloads/git/testlixingren/skills/10jqka_backtest/output/backtest-1776930007397.json

{
  "status": "error",
  "error": "errorcode_1",
  "message": "回测失败",
  "backtest_id": "",
  "metrics": null,
  "raw": {
    "result": "",
    "errorcode": 1,
    "errormsg": "该问句回测失败"
  }
}

0010		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-002 round:10	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	14	BacktestFailedError: 回测失败 (exit=1)
🧮 格式化策略参数...
📝 提交给问财引擎的参数: {
  "name": "小盘风格树-run-002",
  "description": "探索小市值公司的收益放大机会 | Run run-002",
  "query": "非ST，净资产收益率大于23%，市盈率大于0小于30，市盈率小于49，流通市值小于50亿，总市值小于100亿，市盈率小于30，流通市值小于100亿",
  "start_date": "20251025",
  "end_date": "20260423",
  "stock_hold": 3,
  "day_buy_stock_num": 2,
  "upper_income": 15,
  "lower_income": 8,
  "fall_income": 5,
  "period": "3,5",
  "capital": "10000000",
  "engine": "undefined"
}

🚀 正在提交10jqka问财回测...
✅ 回测发起成功!
📊 结果已保存: /Users/fengzhi/Downloads/git/testlixingren/skills/10jqka_backtest/output/backtest-1776930024021.json

{
  "status": "error",
  "error": "errorcode_1",
  "message": "回测失败",
  "backtest_id": "",
  "metrics": null,
  "raw": {
    "result": "",
    "errorcode": 1,
    "errormsg": "该问句回测失败"
  }
}

0011		crash	0.0000	0.0000	0.0000	0.000000	crash	tree_run:run-002 round:11	0.000000	0.000000	0.000000	0.000000	0.000000	0.0000	0	15	BacktestFailedError: 回测失败 (exit=1)
🧮 格式化策略参数...
📝 提交给问财引擎的参数: {
  "name": "小盘风格树-run-002",
  "description": "探索小市值公司的收益放大机会 | Run run-002",
  "query": "非ST，净资产收益率大于23%，市盈率大于0小于30，市盈率小于49，流通市值小于50亿，总市值小于100亿，市盈率小于30，市净率小于3，流通市值小于100亿",
  "start_date": "20251025",
  "end_date": "20260423",
  "stock_hold": 3,
  "day_buy_stock_num": 2,
  "upper_income": 15,
  "lower_income": 8,
  "fall_income": 5,
  "period": "3,5",
  "capital": "10000000",
  "engine": "undefined"
}

🚀 正在提交10jqka问财回测...
✅ 回测发起成功!
📊 结果已保存: /Users/fengzhi/Downloads/git/testlixingren/skills/10jqka_backtest/output/backtest-1776930042775.json

{
  "status": "error",
  "error": "errorcode_1",
  "message": "回测失败",
  "backtest_id": "",
  "metrics": null,
  "raw": {
    "result": "",
    "errorcode": 1,
    "errormsg": "该问句回测失败"
  }
}

0012	jqka_1776930058446	stage_a_fail	0.0423	0.1800	0.3370	-3.626597	rollback	tree_run:run-002 round:12 | [添加条件] 市净率小于6	0.000000	-3.815894	-3.626597	0.000000	0.000000	0.0000	1	16	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0013	jqka_1776930072339	stage_a_fail	0.0423	0.1800	0.3370	-3.626597	rollback	tree_run:run-002 round:13 | [添加条件] 市值从大到小	0.000000	-3.815894	-3.626597	0.000000	0.000000	0.0000	1	17	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0014	jqka_1776930085651	stage_a_fail	0.0423	0.1800	0.3370	-3.626597	rollback	tree_run:run-002 round:14 | [添加条件] 成交额从小到大	0.000000	-3.815894	-3.626597	0.000000	0.000000	0.0000	1	18	INACTIVE: recent_6m 和 recent_12m 均明显低于 baseline
0015	jqka_1776930096800	stage_c_fail	11.0000	0.1500	3.0596	0.653472	rollback	tree_run:run-002 round:15 | [替换条件] 净资产收益率大于23% → 净利润增长率大于48%	0.000000	-0.689582	0.653472	0.000000	0.000000	7.0732	62	15	good_ratio=0.75, floor_ok=False, sensitivity=7.0732, anchor=0.6535
0016	jqka_1776930119306	ok	11.0000	0.1500	3.0596	0.653472	rollback	tree_run:run-002 round:16 | [添加条件] 流通市值小于100亿	0.082909	-0.689582	0.653472	0.651691	0.651961	0.0000	62	16	maxPositions 3 < 4
0017	jqka_1776930136149	ok	11.0000	0.1500	3.0596	0.653472	rollback	tree_run:run-002 round:17 | [添加条件] 市值从小到大	0.096546	-0.689582	0.653472	0.651691	0.651961	0.4017	62	17	maxPositions 3 < 4
